commodity,lag_days_ago,mae_increase
Onion,6,22.222076416015625
Onion,7,17.709320068359375
Onion,5,12.739105224609375
Onion,8,12.4197998046875
Onion,9,6.890899658203125
Onion,1,5.069580078125
Onion,10,2.470184326171875
Onion,19,0.18292236328125
Onion,20,0.1571044921875
Onion,18,0.144683837890625
Tomato,6,63.84489440917969
Tomato,5,54.9830322265625
Tomato,1,51.86431884765625
Tomato,7,47.107086181640625
Tomato,8,23.236557006835938
Tomato,4,11.559417724609375
Tomato,9,4.0347900390625
Tomato,17,1.9474029541015625
Tomato,16,1.8032073974609375
Tomato,18,1.419158935546875
Potato,6,4.434356689453125
Potato,7,4.393157958984375
Potato,8,3.377685546875
Potato,9,1.785247802734375
Potato,10,1.024932861328125
Potato,11,0.299591064453125
Potato,21,0.023651123046875
Potato,22,0.022369384765625
Potato,20,0.017181396484375
Potato,23,0.015350341796875
